id,template_id,name,description,duracao_prevista_dias,dias_apos_inicio_projeto,tarefa_anterior_id,ordem,created_at,updated_at,phase_id
c907fc1c-eb5d-46cb-8987-30625a71f990,917d7b97-8aa8-46bd-ae82-324b7eb2ac84,Alinhamentos,"{""horasEstimadas"":""2""}",1,5,,0,2025-12-23 19:36:04,2025-12-23 19:36:04,
cffa41de-3883-4f4e-83b1-a61b8647492b,917d7b97-8aa8-46bd-ae82-324b7eb2ac84,Levantamento de necessidades,"{""horasEstimadas"":""4"",""diasAposAnterior"":2}",2,,c907fc1c-eb5d-46cb-8987-30625a71f990,1,2025-12-23 19:43:52,2025-12-23 19:43:52,
3b0540c5-8590-42d4-a42f-139b3273eacf,917d7b97-8aa8-46bd-ae82-324b7eb2ac84,Planejamento,"{""horasEstimadas"":""4"",""diasAposAnterior"":2}",2,,cffa41de-3883-4f4e-83b1-a61b8647492b,2,2025-12-23 19:44:17,2025-12-23 19:44:17,
26a6a3f9-24aa-464c-88c8-d48db794eef1,917d7b97-8aa8-46bd-ae82-324b7eb2ac84,Alinhar agendas,"{""horasEstimadas"":""1""}",1,2,,3,2025-12-23 19:44:49,2025-12-23 19:44:49,
478d6fa3-fb1c-4bbc-879a-c75e3930c5a8,83a56e43-bfd1-4fb3-838d-ffb666bc5436,Alinhamentos,"{""horasEstimadas"":""2""}",1,2,,0,2025-12-23 19:46:26,2025-12-23 19:46:26,
6c8dad07-9a19-44f3-bc22-73f7d3a8f707,83a56e43-bfd1-4fb3-838d-ffb666bc5436,Recebimento dos dados,"{""horasEstimadas"":""1""}",1,5,,1,2025-12-23 19:46:50,2025-12-23 19:46:50,
f50e3f9f-da1c-43c4-8c67-3c8e70d89f51,83a56e43-bfd1-4fb3-838d-ffb666bc5436,Preparação de dados Homologação,"{""horasEstimadas"":""10"",""diasAposAnterior"":1}",5,,6c8dad07-9a19-44f3-bc22-73f7d3a8f707,2,2025-12-23 19:48:13,2025-12-23 19:48:13,
5af6e071-f90c-48fb-a1b5-c17d1d518079,83a56e43-bfd1-4fb3-838d-ffb666bc5436,Homologação dos dados para envio,"{""horasEstimadas"":""2"",""diasAposAnterior"":1}",1,,f50e3f9f-da1c-43c4-8c67-3c8e70d89f51,3,2025-12-23 19:48:35,2025-12-23 19:48:35,
d8b937dd-52a0-4607-b55c-3ed9814833ea,83a56e43-bfd1-4fb3-838d-ffb666bc5436,Recebimento de dados definitivos,"{""horasEstimadas"":""1"",""diasAposAnterior"":8}",1,,5af6e071-f90c-48fb-a1b5-c17d1d518079,4,2025-12-23 19:48:57,2025-12-23 19:54:00,
e92d3d8d-2371-46f5-83dc-b8676b514086,83a56e43-bfd1-4fb3-838d-ffb666bc5436,Preparação de dados definitivos,"{""horasEstimadas"":""10"",""diasAposAnterior"":2}",5,,d8b937dd-52a0-4607-b55c-3ed9814833ea,5,2025-12-23 19:49:28,2025-12-23 19:49:28,
6cdb5392-d29e-42b9-be3f-ab90164b8082,83a56e43-bfd1-4fb3-838d-ffb666bc5436,Encerramento,"{""horasEstimadas"":""2"",""diasAposAnterior"":2}",1,,e92d3d8d-2371-46f5-83dc-b8676b514086,6,2025-12-23 19:50:17,2025-12-23 19:50:17,
cbd62972-fbb8-49bf-beb2-3cccfd96bca8,fca0201b-8488-46f4-8d27-975153ccaa2e,Alinhamentos,"{""horasEstimadas"":""1""}",1,2,,0,2025-12-24 18:14:16,2025-12-24 18:14:16,
af5fdf7f-cd4a-4cec-8486-c23434a2de48,fca0201b-8488-46f4-8d27-975153ccaa2e,Reunião - Treinamento,"{""horasEstimadas"":""2"",""diasAposAnterior"":2}",1,,cbd62972-fbb8-49bf-beb2-3cccfd96bca8,1,2025-12-24 18:14:44,2025-12-24 18:14:44,
67848142-7826-4e5d-a307-88439cb31ece,fca0201b-8488-46f4-8d27-975153ccaa2e,Encerramento,"{""horasEstimadas"":""1"",""diasAposAnterior"":1}",3,,af5fdf7f-cd4a-4cec-8486-c23434a2de48,2,2025-12-24 18:15:06,2025-12-24 18:15:06,